source,target,total_source_mentions,total_source_refs,mentions,norm_refs,norm_mentions,mentions_per_ref,wf1,wf2,wf3
10.1001/jama.2017.20885,10.1093/jnen/nlx101,34,25,1,0.04,0.029411764705882,1.36,0.001176470588235,0.034299717028502,-2.92941892571429
10.1001/jama.2019.16161,10.1038/ng.3482,8,6,3,0.166666666666667,0.375,1.33333333333333,0.0625,0.25,-1.20411998265592
10.1001/jamanetworkopen.2019.6972,10.1089/jpm.2017.0548,46,42,1,0.023809523809524,0.021739130434783,1.0952380952381,0.000517598343685,0.022750787759665,-3.28600712207947
10.1001/jamaneurol.2018.0035,10.1172/jci.insight.89530,56,29,1,0.03448275862069,0.017857142857143,1.93103448275862,0.000615763546798,0.024814583349273,-3.21058602490516
10.1001/jamaneurol.2018.0372,10.1136/jnnp-2016-314411,79,43,4,0.023255813953488,0.050632911392405,1.83720930232558,0.001177509567265,0.034314859277946,-2.92903555554207
10.1001/jamaophthalmol.2018.1171,10.3390/ijms17091584,23,17,1,0.058823529411765,0.043478260869565,1.35294117647059,0.002557544757033,0.050572173742417,-2.59217675739587
10.1001/jamapsychiatry.2018.1725,10.1007/s10654-017-0321-4,71,58,1,0.017241379310345,0.014084507042254,1.22413793103448,0.000242836328315,0.015583206612078,-3.61468634228201
10.1002/1873-3468.12646,10.1038/ncomms12143,236,176,3,0.005681818181818,0.01271186440678,1.34090909090909,7.22265023112481E-05,0.008498617670613,-4.14130341606459
10.1002/1873-3468.12646,10.15252/embj.201592559,236,176,3,0.005681818181818,0.01271186440678,1.34090909090909,7.22265023112481E-05,0.008498617670613,-4.14130341606459
10.1002/1873-3468.12646,10.3389/fncel.2015.00496,236,176,2,0.005681818181818,0.008474576271186,1.34090909090909,4.81510015408321E-05,0.006939092270667,-4.31739467512028
10.1002/1873-3468.12843,10.4049/jimmunol.1600120,105,58,1,0.017241379310345,0.00952380952381,1.81034482758621,0.000164203612479,0.012814195740642,-3.78461729263288
10.1002/1873-3468.12920,10.1038/s41598-017-06767-y,164,132,1,0.007575757575758,0.00609756097561,1.24242424242424,4.61936437546194E-05,0.006796590597838,-4.33541777925355
10.1002/1873-3468.12943,10.3390/antiox6020025,275,175,1,0.005714285714286,0.003636363636364,1.57142857142857,2.07792207792208E-05,0.004558423058386,-4.68237074251656
10.1002/1873-3468.12964,10.1073/pnas.1614943114,104,96,1,0.010416666666667,0.009615384615385,1.08333333333333,0.00010016025641,0.010008009612818,-3.99930457233835
10.1002/1873-3468.12976,10.1007/s00401-016-1600-y,47,31,2,0.032258064516129,0.042553191489362,1.51612903225806,0.001372683596431,0.037049744890229,-2.86242955610601
10.1002/1873-3468.13055,10.1073/pnas.1705091114,90,55,1,0.018181818181818,0.011111111111111,1.63636363636364,0.00020202020202,0.014213381090374,-3.69460519893357
10.1002/1873-3468.13088,10.1371/journal.pcbi.1005941,128,61,1,0.016393442622951,0.0078125,2.0983606557377,0.000128073770492,0.011316968255315,-3.89253980465864
10.1002/1873-3468.13119,10.1101/gad.305862.117,246,170,1,0.005882352941176,0.004065040650407,1.44705882352941,2.39120038259206E-05,0.00488999016624,-4.62138402848165
10.1002/1873-3468.13123,10.1155/2017/9208489,177,88,1,0.011363636363636,0.005649717514124,2.01136363636364,6.42013353877761E-05,0.008012573580803,-4.19245593851198
10.1002/1873-3468.13340,10.1083/jcb.201607055,212,103,1,0.009708737864078,0.004716981132075,2.05825242718447,4.57959333211211E-05,0.00676726926619,-4.33917308563392
10.1002/1873-3468.13449,10.1038/nrm.2016.116,35,28,1,0.035714285714286,0.028571428571429,1.25,0.001020408163265,0.031943828249997,-2.9912260756925
10.1002/1873-3468.13483,10.3389/fnmol.2017.00359,138,66,1,0.015151515151515,0.007246376811594,2.09090909090909,0.000109793588054,0.010478243557699,-3.95942302194311
10.1002/1873-3468.13486,10.1186/s13041-018-0363-x,186,99,1,0.01010101010101,0.005376344086022,1.87878787878788,5.43065059194092E-05,0.007369294804756,-4.26514813881547
10.1002/1873-3468.13567,10.3389/fnins.2015.00448,213,140,1,0.007142857142857,0.004694835680751,1.52142857142857,3.35345405767941E-05,0.005790901534027,-4.47450763911698
10.1002/1873-3468.13571,10.1093/hmg/ddy352,123,88,1,0.011363636363636,0.008130081300813,1.39772727272727,9.23872875092387E-05,0.00961183060136,-4.03438778358957
10.1002/1873-3468.13639,10.1016/j.cell.2016.06.037,151,88,5,0.011363636363636,0.033112582781457,1.71590909090909,0.000376279349789,0.019397921274953,-3.42448961510732
10.1002/1873-3468.13678,10.3389/fnmol.2017.00359,415,158,7,0.006329113924051,0.016867469879518,2.62658227848101,0.000106756138478,0.010332286217385,-3.97160714365226
10.1002/1873-3468.13700,10.1038/nrm.2016.116,284,241,1,0.004149377593361,0.003521126760563,1.17842323651452,1.46104844836655E-05,0.003822366346083,-4.83533538262191
10.1002/1878-0261.12404,10.4137/grsb.s29414,139,118,1,0.008474576271186,0.007194244604317,1.17796610169492,6.09681746128521E-05,0.007808211998457,-4.21489680756022
10.1002/1878-0261.12472,10.4137/grsb.s29414,78,40,2,0.025,0.025641025641026,1.95,0.000641025641026,0.025318484177092,-3.19312459835446
10.1002/1878-0261.12486,10.3389/fimmu.2018.01268,72,57,3,0.017543859649123,0.041666666666667,1.26315789473684,0.000730994152047,0.027036903521794,-3.1360860973841
10.1002/1878-0261.12603,10.1186/s12943-017-0663-2,39,36,1,0.027777777777778,0.025641025641026,1.08333333333333,0.000712250712251,0.026688025634181,-3.14736710779379
